Label,ROI_number,x,y,z,VOL,Frontal_L,Frontal_R,Parietal_L,Parietal_R,Occipital_L,Occipital_R,Temporal_L,Temporal_R,Insula_L,Insula_R,Subcortical_L,Subcortical_R
7Networks_RH_DorsAttn_Post_5,139,41.6556603773585,-31.4150943396226,46.3490566037736,424,0,0,0,0.974056603773585,0,0,0,0,0,0,0,0
7Networks_RH_DorsAttn_Post_6,140,14.9542483660131,-73.1111111111111,52.9411764705882,459,0,0,0,0.854030501089325,0,0.00871459694989107,0,0,0,0,0,0
7Networks_RH_DorsAttn_Post_7,141,34.6846846846847,-47.9063063063063,50.818018018018,555,0,0,0,0.967567567567568,0,0,0,0,0,0,0,0
7Networks_RH_DorsAttn_Post_8,142,26.259649122807,-61.2795321637427,57.9695906432749,855,0,0,0,0.978947368421053,0,0,0,0,0,0,0,0
7Networks_RH_DorsAttn_Post_9,143,8.54297407912688,-55.9345156889495,61.31241473397,733,0,0,0,0.927694406548431,0,0,0,0,0,0,0,0
7Networks_RH_DorsAttn_Post_10,144,21.3652892561984,-48.1454545454546,70.3338842975207,605,0,0,0,0.940495867768595,0,0,0,0,0,0,0,0
7Networks_RH_DorsAttn_FEF_1,145,34.3247524752475,-4.52673267326733,52.5306930693069,505,0,0.900990099009901,0,0,0,0,0,0,0,0,0,0
7Networks_RH_DorsAttn_FEF_2,146,25.9842022116904,7.09320695102686,57.6556082148499,633,0,0.958925750394945,0,0,0,0,0,0,0,0,0,0
7Networks_RH_DorsAttn_PrCv_1,147,51.3924665856622,10.6051032806804,20.2527339003645,823,0,0.8955042527339,0,0,0,0,0,0,0,0,0,0
7Networks_RH_SalVentAttn_TempOccPar_1,148,56.949083503055,-45.2993890020367,9.42158859470468,491,0,0,0,0.189409368635438,0,0,0,0.775967413441955,0,0,0,0
7Networks_RH_SalVentAttn_TempOccPar_2,149,60.0102040816327,-38.5969387755102,16.6632653061224,392,0,0,0,0.517857142857143,0,0,0,0.405612244897959,0,0,0,0
7Networks_RH_SalVentAttn_TempOccPar_3,150,60.0441176470588,-26.1953781512605,27.7731092436975,952,0,0,0,0.932773109243698,0,0,0,0.00105042016806723,0,0,0,0
7Networks_RH_SalVentAttn_PrC_1,151,50.7823960880196,3.56968215158924,40.4987775061125,409,0,0.9559902200489,0,0,0,0,0,0,0,0,0,0
7Networks_RH_SalVentAttn_FrOperIns_1,152,41.1771117166213,5.85286103542234,-15.3514986376022,367,0,0,0,0,0,0,0,0.629427792915531,0,0.114441416893733,0,0
7Networks_RH_SalVentAttn_FrOperIns_2,153,46.1755319148936,-3.4281914893617,-4.27393617021277,752,0,0.0199468085106383,0,0.00132978723404255,0,0,0,0.541223404255319,0,0.228723404255319,0,0
7Networks_RH_SalVentAttn_FrOperIns_3,154,36.1758241758242,23.7912087912088,4.81318681318681,364,0,0.535714285714286,0,0,0,0,0,0,0,0.417582417582418,0,0
7Networks_RH_SalVentAttn_FrOperIns_4,155,43.685393258427,6.80449438202247,3.86966292134831,890,0,0.448314606741573,0,0,0,0,0,0.00786516853932584,0,0.491011235955056,0,0.00898876404494382
7Networks_RH_SalVentAttn_Med_1,156,7.46629986244842,8.95460797799175,41.2132049518569,727,0.00550206327372765,0.876203576341128,0,0,0,0,0,0,0,0,0,0
7Networks_RH_SalVentAttn_Med_2,157,10.6405451448041,-35.4650766609881,46.7597955706985,587,0,0,0.00340715502555366,0.984667802385009,0,0,0,0,0,0,0,0
7Networks_RH_SalVentAttn_Med_3,158,8.71381578947369,3.51973684210526,65.5986842105263,608,0,0.963815789473684,0,0,0,0,0,0,0,0,0,0
7Networks_RH_Limbic_OFC_1,159,11.9531615925059,38.5714285714286,-21.4683840749415,854,0,0.94847775175644,0,0,0,0,0,0,0,0,0,0.00351288056206089
7Networks_RH_Limbic_OFC_2,160,28.6008119079838,22.3843031123139,-18.8985115020298,739,0,0.728010825439784,0,0,0,0,0,0.0148849797023004,0,0.0649526387009472,0,0
7Networks_RH_Limbic_OFC_3,161,14.860025220681,64.5422446406053,-7.62168978562421,793,0,0.91046658259773,0,0,0,0,0,0,0,0,0,0
7Networks_RH_Limbic_TempPole_1,162,29.8993821712268,8.23124448367167,-37.6557811120918,1133,0,0,0,0,0,0,0,0.893203883495146,0,0,0,0.00176522506619594
7Networks_RH_Limbic_TempPole_2,163,46.9242957746479,-12.7816901408451,-34.8362676056338,1136,0,0,0,0,0,0,0,0.857394366197183,0,0,0,0
